asset,ticker,minute,kind,side,fair,fill_px,contracts,edge_c,won,pnl
ETH,KXETH15M-26JUN141415-15,13,tt,no,0.5601,0.46,20.0,10.01,0,-9.2
ETH,KXETH15M-26JUN141415-15,13,dynamic,no,0.5601,0.4956,132.77,10.01,0,-65.8003
ETH,KXETH15M-26JUN141415-15,13,maker,no,0.5601,0.5401,20,2.0,0,-10.8012
ETH,KXETH15M-26JUN141430-30,10,maker,no,0.9593,0.9393,20,2.0,1,1.1288
ETH,KXETH15M-26JUN141500-00,10,maker,yes,0.8657,0.8457,20,2.0,1,2.8706
ETH,KXETH15M-26JUN141500-00,11,maker,yes,0.8616,0.8416,20,2.0,1,2.946
ETH,KXETH15M-26JUN141515-15,10,maker,yes,0.8948,0.8748,20,2.0,1,2.3278
ETH,KXETH15M-26JUN141545-45,10,maker,yes,0.7275,0.7075,20,2.0,0,-14.1501
ETH,KXETH15M-26JUN141545-45,11,maker,no,0.4988,0.4788,20,2.0,1,9.6942
ETH,KXETH15M-26JUN142015-15,10,maker,yes,0.8678,0.8478,20,2.0,1,2.8317
ETH,KXETH15M-26JUN142015-15,11,maker,yes,0.8949,0.8749,20,2.0,1,2.3276
ETH,KXETH15M-26JUN142015-15,12,maker,yes,0.9089,0.8889,20,2.0,1,2.067
ETH,KXETH15M-26JUN142030-30,10,maker,no,0.9634,0.9434,20,2.0,1,1.0531
ETH,KXETH15M-26JUN142030-30,11,maker,no,0.9598,0.9398,20,2.0,1,1.1194
ETH,KXETH15M-26JUN142100-00,10,flat,no,0.4036,0.3,20.0,10.36,0,-6.0
ETH,KXETH15M-26JUN142100-00,10,tt,no,0.4036,0.3,20.0,10.36,0,-6.0
ETH,KXETH15M-26JUN142100-00,10,dynamic,no,0.4036,0.3,234.13,10.36,0,-70.2387
ETH,KXETH15M-26JUN142100-00,10,maker,no,0.4036,0.3836,20,2.0,0,-7.6713
ETH,KXETH15M-26JUN142100-00,11,maker,no,0.3954,0.3754,20,2.0,0,-7.5081
ETH,KXETH15M-26JUN142100-00,12,maker,yes,0.689,0.669,20,2.0,1,6.1574
ETH,KXETH15M-26JUN142100-00,13,flat,no,0.2822,0.0437,20.0,25.22,0,-0.8733
ETH,KXETH15M-26JUN142100-00,13,tt,no,0.2822,0.0437,20.0,25.22,0,-0.8733
ETH,KXETH15M-26JUN142100-00,13,dynamic,no,0.2822,0.067,1165.62,25.22,0,-78.1082
ETH,KXETH15M-26JUN142100-00,13,maker,no,0.2822,0.2622,20,2.0,0,-5.2433
ETH,KXETH15M-26JUN142215-15,13,flat,yes,0.9623,0.6835,0.0,27.88,1,0.0
