window_ts,ticker,winner,n_yes_bets,n_no_bets,total_bets,yes_wagered,no_wagered,total_wagered,yes_pnl,no_pnl,total_pnl,cum_pnl,outcome,first_minute,first_direction
2026-05-29T01:15:00+00:00,KXBTC15M-26MAY282130-30,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+553.0055,no_bet,,
2026-05-29T01:30:00+00:00,KXBTC15M-26MAY282145-45,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+553.0055,no_bet,,
2026-05-29T01:45:00+00:00,KXBTC15M-26MAY282200-00,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+553.0055,no_bet,,
2026-05-29T02:00:00+00:00,KXBTC15M-26MAY282215-15,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+553.0055,no_bet,,
2026-05-29T02:15:00+00:00,KXBTC15M-26MAY282230-30,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+553.0055,no_bet,,
2026-05-29T02:30:00+00:00,KXBTC15M-26MAY282245-45,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+553.0055,no_bet,,
2026-05-29T02:45:00+00:00,KXBTC15M-26MAY282300-00,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+553.0055,no_bet,,
2026-05-29T03:00:00+00:00,KXBTC15M-26MAY282315-15,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+553.0055,no_bet,,
2026-05-29T03:30:00+00:00,KXBTC15M-26MAY282345-45,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+553.0055,no_bet,,
2026-05-29T03:45:00+00:00,KXBTC15M-26MAY290000-00,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+553.0055,no_bet,,
2026-05-29T04:00:00+00:00,KXBTC15M-26MAY290015-15,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+553.0055,no_bet,,
2026-05-29T04:15:00+00:00,KXBTC15M-26MAY290030-30,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+553.0055,no_bet,,
2026-05-29T04:30:00+00:00,KXBTC15M-26MAY290045-45,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+553.0055,no_bet,,
2026-05-29T04:45:00+00:00,KXBTC15M-26MAY290100-00,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+553.0055,no_bet,,
2026-05-29T05:00:00+00:00,KXBTC15M-26MAY290115-15,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+553.0055,no_bet,,
2026-05-29T05:15:00+00:00,KXBTC15M-26MAY290130-30,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+553.0055,no_bet,,
2026-05-29T05:30:00+00:00,KXBTC15M-26MAY290145-45,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+553.0055,no_bet,,
2026-05-29T05:45:00+00:00,KXBTC15M-26MAY290200-00,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+553.0055,no_bet,,
2026-05-29T06:00:00+00:00,KXBTC15M-26MAY290215-15,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+553.0055,no_bet,,
2026-05-29T06:15:00+00:00,KXBTC15M-26MAY290230-30,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+553.0055,no_bet,,
2026-05-29T06:30:00+00:00,KXBTC15M-26MAY290245-45,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+553.0055,no_bet,,
2026-05-29T06:45:00+00:00,KXBTC15M-26MAY290300-00,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+553.0055,no_bet,,
2026-05-29T07:15:00+00:00,KXBTC15M-26MAY290330-30,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+553.0055,no_bet,,
2026-05-29T07:30:00+00:00,KXBTC15M-26MAY290345-45,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+553.0055,no_bet,,
2026-05-29T07:45:00+00:00,KXBTC15M-26MAY290400-00,yes,1,0,1,12.7756,0.0000,12.7756,+10.5363,+0.0000,+10.5363,+563.5417,net_win,11,yes
2026-05-29T08:00:00+00:00,KXBTC15M-26MAY290415-15,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+563.5417,no_bet,,
2026-05-29T08:15:00+00:00,KXBTC15M-26MAY290430-30,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+563.5417,no_bet,,
2026-05-29T08:30:00+00:00,KXBTC15M-26MAY290445-45,no,1,0,1,15.7395,0.0000,15.7395,-15.7395,+0.0000,-15.7395,+547.8022,net_loss,10,yes
2026-05-29T08:45:00+00:00,KXBTC15M-26MAY290500-00,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+547.8022,no_bet,,
2026-05-29T09:00:00+00:00,KXBTC15M-26MAY290515-15,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+547.8022,no_bet,,
2026-05-29T09:15:00+00:00,KXBTC15M-26MAY290530-30,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+547.8022,no_bet,,
2026-05-29T09:30:00+00:00,KXBTC15M-26MAY290545-45,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+547.8022,no_bet,,
2026-05-29T09:45:00+00:00,KXBTC15M-26MAY290600-00,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+547.8022,no_bet,,
2026-05-29T10:00:00+00:00,KXBTC15M-26MAY290615-15,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+547.8022,no_bet,,
2026-05-29T10:15:00+00:00,KXBTC15M-26MAY290630-30,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+547.8022,no_bet,,
2026-05-29T10:30:00+00:00,KXBTC15M-26MAY290645-45,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+547.8022,no_bet,,
2026-05-29T10:45:00+00:00,KXBTC15M-26MAY290700-00,yes,1,0,1,32.0879,0.0000,32.0879,+19.0792,+0.0000,+19.0792,+566.8814,net_win,10,yes
2026-05-29T11:00:00+00:00,KXBTC15M-26MAY290715-15,yes,1,0,1,15.5020,0.0000,15.5020,+48.2651,+0.0000,+48.2651,+615.1464,net_win,10,yes
2026-05-29T11:15:00+00:00,KXBTC15M-26MAY290730-30,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+615.1464,no_bet,,
2026-05-29T11:30:00+00:00,KXBTC15M-26MAY290745-45,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+615.1464,no_bet,,
