window_ts,ticker,winner,n_yes_bets,n_no_bets,total_bets,yes_wagered,no_wagered,total_wagered,yes_pnl,no_pnl,total_pnl,cum_pnl,outcome,first_minute,first_direction
2026-05-25T20:15:00+00:00,KXBTC15M-26MAY251630-30,no,0,1,1,0.0000,17.0588,17.0588,+0.0000,+108.0782,+108.0782,+331.4019,net_win,11,no
2026-05-25T20:30:00+00:00,KXBTC15M-26MAY251645-45,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+331.4019,no_bet,,
2026-05-25T20:45:00+00:00,KXBTC15M-26MAY251700-00,yes,0,2,2,0.0000,23.4297,23.4297,+0.0000,-23.4297,-23.4297,+307.9723,net_loss,11,no
2026-05-25T21:00:00+00:00,KXBTC15M-26MAY251715-15,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+307.9723,no_bet,,
2026-05-25T21:15:00+00:00,KXBTC15M-26MAY251730-30,no,2,0,2,12.2593,0.0000,12.2593,-12.2593,+0.0000,-12.2593,+295.7130,net_loss,12,yes
2026-05-25T21:30:00+00:00,KXBTC15M-26MAY251745-45,no,1,1,2,9.0891,11.4262,20.5153,-9.0891,+13.5245,+4.4355,+300.1484,net_win,12,yes
2026-05-25T21:45:00+00:00,KXBTC15M-26MAY251800-00,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+300.1484,no_bet,,
2026-05-27T02:15:00+00:00,KXBTC15M-26MAY262230-30,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+300.1484,no_bet,,
2026-05-27T02:30:00+00:00,KXBTC15M-26MAY262245-45,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+300.1484,no_bet,,
2026-05-27T02:45:00+00:00,KXBTC15M-26MAY262300-00,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+300.1484,no_bet,,
2026-05-27T03:00:00+00:00,KXBTC15M-26MAY262315-15,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+300.1484,no_bet,,
2026-05-27T03:15:00+00:00,KXBTC15M-26MAY262330-30,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+300.1484,no_bet,,
2026-05-27T03:30:00+00:00,KXBTC15M-26MAY262345-45,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+300.1484,no_bet,,
2026-05-27T03:45:00+00:00,KXBTC15M-26MAY270000-00,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+300.1484,no_bet,,
2026-05-27T04:00:00+00:00,KXBTC15M-26MAY270015-15,no,0,1,1,0.0000,15.4181,15.4181,+0.0000,+164.8963,+164.8963,+465.0447,net_win,13,no
2026-05-28T11:15:00+00:00,KXBTC15M-26MAY280730-30,no,0,1,1,0.0000,21.0749,21.0749,+0.0000,+15.3997,+15.3997,+480.4444,net_win,11,no
2026-05-28T11:30:00+00:00,KXBTC15M-26MAY280745-45,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+480.4444,no_bet,,
2026-05-28T11:45:00+00:00,KXBTC15M-26MAY280800-00,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+480.4444,no_bet,,
2026-05-28T12:00:00+00:00,KXBTC15M-26MAY280815-15,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+480.4444,no_bet,,
2026-05-28T12:30:00+00:00,KXBTC15M-26MAY280845-45,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+480.4444,no_bet,,
2026-05-28T12:45:00+00:00,KXBTC15M-26MAY280900-00,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+480.4444,no_bet,,
2026-05-28T13:00:00+00:00,KXBTC15M-26MAY280915-15,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+480.4444,no_bet,,
2026-05-28T13:15:00+00:00,KXBTC15M-26MAY280930-30,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+480.4444,no_bet,,
2026-05-28T13:30:00+00:00,KXBTC15M-26MAY280945-45,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+480.4444,no_bet,,
2026-05-28T13:45:00+00:00,KXBTC15M-26MAY281000-00,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+480.4444,no_bet,,
2026-05-28T14:15:00+00:00,KXBTC15M-26MAY281030-30,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+480.4444,no_bet,,
2026-05-28T14:45:00+00:00,KXBTC15M-26MAY281100-00,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+480.4444,no_bet,,
2026-05-28T15:00:00+00:00,KXBTC15M-26MAY281115-15,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+480.4444,no_bet,,
2026-05-28T15:15:00+00:00,KXBTC15M-26MAY281130-30,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+480.4444,no_bet,,
2026-05-28T15:30:00+00:00,KXBTC15M-26MAY281145-45,yes,1,0,1,13.9274,0.0000,13.9274,+22.0543,+0.0000,+22.0543,+502.4987,net_win,13,yes
2026-05-28T15:45:00+00:00,KXBTC15M-26MAY281200-00,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+502.4987,no_bet,,
2026-05-28T16:00:00+00:00,KXBTC15M-26MAY281215-15,yes,1,0,1,28.0403,0.0000,28.0403,+36.0118,+0.0000,+36.0118,+538.5104,net_win,11,yes
2026-05-28T16:15:00+00:00,KXBTC15M-26MAY281230-30,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+538.5104,no_bet,,
2026-05-28T16:30:00+00:00,KXBTC15M-26MAY281245-45,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+538.5104,no_bet,,
2026-05-28T16:45:00+00:00,KXBTC15M-26MAY281300-00,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+538.5104,no_bet,,
2026-05-28T17:00:00+00:00,KXBTC15M-26MAY281315-15,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+538.5104,no_bet,,
2026-05-28T17:30:00+00:00,KXBTC15M-26MAY281345-45,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+538.5104,no_bet,,
2026-05-28T17:45:00+00:00,KXBTC15M-26MAY281400-00,yes,0,1,1,0.0000,67.0298,67.0298,+0.0000,-67.0298,-67.0298,+471.4806,net_loss,10,no
2026-05-28T18:00:00+00:00,KXBTC15M-26MAY281415-15,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+471.4806,no_bet,,
2026-05-28T18:15:00+00:00,KXBTC15M-26MAY281430-30,no,0,2,2,0.0000,20.5680,20.5680,+0.0000,+17.4797,+17.4797,+488.9603,net_win,10,no
2026-05-28T18:30:00+00:00,KXBTC15M-26MAY281445-45,yes,1,1,2,10.7822,10.3675,21.1497,+9.2561,-10.3675,-1.1114,+487.8489,net_loss,10,no
2026-05-28T18:45:00+00:00,KXBTC15M-26MAY281500-00,yes,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+487.8489,no_bet,,
2026-05-28T19:00:00+00:00,KXBTC15M-26MAY281515-15,no,0,0,0,0.0000,0.0000,0.0000,+0.0000,+0.0000,+0.0000,+487.8489,no_bet,,
