window_ts,timestamp,mode,ticker,close_time,direction,btc_t0,btc_t5,btc_price_age_secs,abs_pct_move,yes_bid,yes_ask,spread,kalshi_yes_t5,mispricing,f_btc,g_misprice,stake,fill_price,count,order_id,order_result,settlement_ts,market_winner,outcome,pnl,cumulative_pnl
2026-05-04T10:30:00+00:00,dh-target,KXBTC15M-26MAY040645-45,2026-05-04T10:45:00Z,240,78485.87,78834.03,0.5,0.443596,0.937,0.946,0.009,0.9415,yes,25.7582,0.0,0.0,0.0,yes,-0.103291,2.820447,0.608844,25.7582,0.966,27,paper,paper
2026-05-04T10:30:00+00:00,dh-target,KXBTC15M-26MAY040645-45,2026-05-04T10:45:00Z,255,78485.87,78896.0,0.16,0.522553,0.942,0.948,0.006,0.945,yes,79.8817,0.0,25.7582,0.0,yes,-0.005037,2.974503,0.979855,54.1235,0.968,56,paper,paper
2026-05-04T10:45:00+00:00,dh-target,KXBTC15M-26MAY040700-00,2026-05-04T11:00:00Z,240,78939.55,79025.5,0.02,0.108881,0.64,0.65,0.01,0.645,yes,38.6311,0.0,0.0,0.0,yes,0.085164,1.939219,1.328063,38.6311,0.67,58,paper,paper
2026-05-04T10:45:00+00:00,dh-target,KXBTC15M-26MAY040700-00,2026-05-04T11:00:00Z,255,78939.55,79026.42,0.04,0.110046,0.68,0.69,0.01,0.685,yes,42.5683,0.0,38.6311,0.0,yes,0.066669,2.212712,1.260529,3.9373,0.71,6,paper,paper
2026-05-04T10:45:00+00:00,dh-target,KXBTC15M-26MAY040700-00,2026-05-04T11:00:00Z,285,78939.55,79057.99,0.57,0.150039,0.75,0.76,0.01,0.755,yes,51.0066,0.0,42.5683,0.0,yes,4.5e-05,2.251286,1.00018,8.4383,0.78,11,paper,paper
2026-05-04T10:45:00+00:00,dh-target,KXBTC15M-26MAY040700-00,2026-05-04T11:00:00Z,375,78939.55,79062.91,0.42,0.156271,0.79,0.8,0.01,0.795,yes,53.0341,0.0,51.0066,0.0,yes,0.005118,2.643134,1.020469,2.0275,0.82,2,paper,paper
2026-05-04T10:45:00+00:00,dh-target,KXBTC15M-26MAY040700-00,2026-05-04T11:00:00Z,570,78939.55,79022.0,0.0,0.104447,0.84,0.85,0.01,0.845,yes,58.4976,0.0,53.0341,0.0,yes,0.034145,2.91887,1.135737,5.4635,0.87,6,paper,paper
2026-05-04T10:45:00+00:00,dh-target,KXBTC15M-26MAY040700-00,2026-05-04T11:00:00Z,600,78939.55,78927.57,0.07,0.015176,0.4,0.42,0.02,0.41,no,0.0,15.6361,58.4976,0.0,no,0.0364,0.606891,1.14458,15.6361,0.62,25,paper,paper
2026-05-04T10:45:00+00:00,dh-target,KXBTC15M-26MAY040700-00,2026-05-04T11:00:00Z,675,78939.55,78898.33,0.24,0.052217,0.29,0.3,0.01,0.295,no,0.0,68.1645,58.4976,15.6361,no,0.112944,2.740912,1.423358,52.5285,0.73,72,paper,paper
2026-05-04T11:00:00+00:00,dh-target,KXBTC15M-26MAY040715-15,2026-05-04T11:15:00Z,240,78945.7,78957.98,0.15,0.015555,0.47,0.5,0.03,0.485,yes,3.1333,0.0,0.0,0.0,yes,0.063531,0.167271,1.248791,3.1333,0.52,6,paper,paper
